,RefDate,Symbol,Timestamp,BidPrice,AskPrice,Price,Quantity,Pid,MidPoint,Spread,Weight,?,Weighted Average Effective Spread,
0,8/3/2015,MSFT,34200004,46.8,46.81,46.98,138,P,46.805,0.175,0.000357159,6.25029E-05,0.27206565,http://cfaglossary.blogspot.com/2014/04/average-quoted-spread-average-effective.html
1,8/3/2015,MSFT,34200267,46.8,46.81,46.99,100,J,46.805,0.185,0.000258811,4.78801E-05,,
2,8/3/2015,MSFT,34200331,46.8,46.81,47,400,J,46.805,0.195,0.001035245,0.000201873,,
3,8/3/2015,MSFT,34200331,46.8,46.81,47,100,J,46.805,0.195,0.000258811,5.04682E-05,,
4,8/3/2015,MSFT,34200439,46.87,46.99,46.89,100,Y,46.93,0.04,0.000258811,1.03524E-05,,
5,8/3/2015,MSFT,34200647,46.8,46.81,46.95,354389,Q,46.805,0.145,0.917198524,0.132993786,,
6,8/3/2015,MSFT,34200777,46.9,46.96,46.935,100,Q,46.93,0.005,0.000258811,1.29406E-06,,
7,8/3/2015,MSFT,34200786,46.9,46.96,46.93,100,D,46.93,0,0.000258811,0,,
8,8/3/2015,MSFT,34200925,46.9,46.96,46.91,100,Y,46.93,0.02,0.000258811,5.17622E-06,,
9,8/3/2015,MSFT,34200974,46.9,46.96,46.91,100,Y,46.93,0.02,0.000258811,5.17622E-06,,
10,8/3/2015,MSFT,34201252,46.8,46.81,46.9,100,D,46.805,0.095,0.000258811,2.45871E-05,,
11,8/3/2015,MSFT,34201352,46.8,46.81,46.96,100,D,46.805,0.155,0.000258811,4.01157E-05,,
12,8/3/2015,MSFT,34201714,46.92,46.95,46.96,100,D,46.935,0.025,0.000258811,6.47028E-06,,
13,8/3/2015,MSFT,34201725,46.92,46.95,46.96,100,D,46.935,0.025,0.000258811,6.47028E-06,,
14,8/3/2015,MSFT,34201950,46.91,46.92,46.93,287,Q,46.915,0.015,0.000742788,1.11418E-05,,
15,8/3/2015,MSFT,34201950,46.91,46.92,46.92,100,Q,46.915,0.005,0.000258811,1.29406E-06,,
16,8/3/2015,MSFT,34201950,46.91,46.92,46.92,100,Q,46.915,0.005,0.000258811,1.29406E-06,,
17,8/3/2015,MSFT,34201950,46.91,46.92,46.92,100,Q,46.915,0.005,0.000258811,1.29406E-06,,
18,8/3/2015,MSFT,34202008,46.9,46.91,46.905,100,Z,46.905,0,0.000258811,0,,
19,8/3/2015,MSFT,34202038,46.9,46.91,46.91,100,D,46.905,0.005,0.000258811,1.29406E-06,,
20,8/3/2015,MSFT,34202041,46.9,46.91,46.91,100,D,46.905,0.005,0.000258811,1.29406E-06,,
21,8/3/2015,MSFT,34202166,46.9,46.91,46.9,2117,Q,46.905,0.005,0.005479034,2.73952E-05,,
22,8/3/2015,MSFT,34202166,46.9,46.91,46.9,900,Q,46.905,0.005,0.002329301,1.16465E-05,,
23,8/3/2015,MSFT,34202166,46.9,46.91,46.91,100,Y,46.905,0.005,0.000258811,1.29406E-06,,
24,8/3/2015,MSFT,34202166,46.9,46.91,46.9,100,Z,46.905,0.005,0.000258811,1.29406E-06,,
