,RefDate,Symbol,atimeBucket,startTime,MaxPrice,MinPrice,AvgPrice,LastPrice
0,2015-08-03,AAPL,114,09:30:00,121.5,121.05,121.22574339685687,121.23
1,2015-08-03,AAPL,115,09:35:00,122.47,121.22,121.86515066346759,122.44
2,2015-08-03,AAPL,116,09:40:00,122.57,122.1,122.37849908945154,122.18
3,2015-08-03,AAPL,117,09:45:00,122.2,121.8901,122.00520002243078,122.05
4,2015-08-03,AAPL,118,09:50:00,122.29,122.0,122.10803123535378,122.07
5,2015-08-03,AAPL,119,09:55:00,122.21,121.7,122.02052829545421,121.77
6,2015-08-03,AAPL,120,10:00:00,121.89,121.41,121.73006755277568,121.54
7,2015-08-03,AAPL,121,10:05:00,121.55,121.25,121.38513324115172,121.26
8,2015-08-03,AAPL,122,10:10:00,121.62,121.255,121.48452561657346,121.514
9,2015-08-03,AAPL,123,10:15:00,121.52,121.27,121.38975309400101,121.27
10,2015-08-03,AAPL,124,10:20:00,121.34,121.15,121.25173534090943,121.16
11,2015-08-03,AAPL,125,10:25:00,121.16,120.775,120.92567337698654,121.02
12,2015-08-03,AAPL,126,10:30:00,121.04,120.81,120.90262147117423,120.92
13,2015-08-03,AAPL,127,10:35:00,121.0,120.78,120.88182112310983,120.99
14,2015-08-03,AAPL,128,10:40:00,121.0,120.86,120.9114692700367,120.86
15,2015-08-03,AAPL,129,10:45:00,120.9083,120.733,120.81935340951009,120.78
16,2015-08-03,AAPL,130,10:50:00,120.84,120.55,120.71768533562846,120.62
17,2015-08-03,AAPL,131,10:55:00,120.72,120.53,120.62324303106692,120.65
18,2015-08-03,AAPL,132,11:00:00,120.82,120.65,120.71650324894618,120.69
19,2015-08-03,AAPL,133,11:05:00,120.99,120.65,120.83935183541784,120.96
20,2015-08-03,AAPL,134,11:10:00,121.18,120.91,121.02811033018807,121.0237
21,2015-08-03,AAPL,135,11:15:00,121.17,120.97,121.05848787656164,121.0899
22,2015-08-03,AAPL,136,11:20:00,121.15,121.048,121.09071506024104,121.101
23,2015-08-03,AAPL,137,11:25:00,121.15,120.95,121.04811074099283,120.9954
24,2015-08-03,AAPL,138,11:30:00,121.12,120.92,121.02046729602174,120.9895
25,2015-08-03,AAPL,139,11:35:00,120.99,120.67,120.82495629960289,120.675
26,2015-08-03,AAPL,140,11:40:00,120.84,120.56,120.68602911899303,120.82
27,2015-08-03,AAPL,141,11:45:00,120.86,120.66,120.75718150113754,120.675
28,2015-08-03,AAPL,142,11:50:00,120.68,120.33,120.4685607729479,120.45
29,2015-08-03,AAPL,143,11:55:00,120.5155,120.41,120.453562978142,120.49
30,2015-08-03,AAPL,144,12:00:00,120.55,120.22,120.32098903345772,120.2449
31,2015-08-03,AAPL,145,12:05:00,120.3,120.11,120.20831971252647,120.16
32,2015-08-03,AAPL,146,12:10:00,120.1734,119.9,120.02721627774879,120.02
33,2015-08-03,AAPL,147,12:15:00,120.06,119.87,119.96582829611607,119.87
34,2015-08-03,AAPL,148,12:20:00,119.99,119.81,119.89728281774086,119.94
